EXPEDIENTE,ADMINISTRADO,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TEMA,INCUMPLIMIENTO,RESOLUCION,MULTA,AMONESTACION_ESCRITA,REMOCION,ARCHIVO,MEDIDA_CORRECTIVA,ANIO,MES,FECHA_CORTE
022-2022-PAS,EPS TACNA SA,230101,TACNA,TACNA,TACNA,Solicitud de ampliación de plazo,Resolucion 157-2022-SUNASS-DS,1-2023-SUNASS-DS,0,0,0,0,0,2023,202301,20231031
PAS-003-2022-SUNASS-ODS-SMA,EMAPA SAN MARTIN SA,220901,SAN MARTIN,SAN MARTIN,TARAPOTO,Estructura tarifaria,No aplicar ajustes por IPM/Proporcionar con retraso la información solicitada,2-2023-SUNASS-DS,0,0,0,1,0,2023,202301,20231031
061-2022-PAS,EPS SEDAM HUANCAYO SA,120101,JUNIN,HUANCAYO,HUANCAYO,Cobros indebidos,No implementar MC,3-2023-SUNASS-DS,0.98,0,0,0,1,2023,202301,20231031
062-2022-PAS,EPS MUNICIPAL MANTARO SA,120401,JUNIN,JAUJA,JAUJA,Cobros indebidos,No implementar MC,4-2023-SUNASS-DS,0.43,0,0,0,1,2023,202301,20231031
057-2022-PAS,SEDALIB SA,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,"Metas sobre Monitoreo y Gestión de Aguas Subterráneas	",ICG e ICI a nivel de EPS menores al 90%,5-2023-SUNASS-DS,9.1,0,0,0,0,2023,202301,20231031
063-2022-PAS,SEDACHIMBOTE SA,21801,ANCASH,SANTA,CHIMBOTE,Cobros en exceso y cobros indebidos,No implementar MC,6-2023-SUNASS-DS,0.06,0,0,0,0,2023,202301,20231031
064-2022-PAS,EPS SEDAJULIACA SA,211101,PUNO,SAN ROMAN,JULIACA,Buen gobierno corporativo,No implementar MC,7-2023-SUNASS-DS,0.03,0,0,0,0,2023,202301,20231031
PAS-002-2022SUNASS-ODS-CAJ,EPS MARAÑON SA,60801,CAJAMARCA,JAEN,JAEN,Metas de gestión,ICG menor al 85% e ICI a nivel de EPS y localidad menores al 80%,8-2023-SUNASS-DS,0.31,0,0,0,0,2023,202301,20231031
069-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",9-2023-SUNASS-DS,15,0,0,0,0,2023,202301,20231031
066-2022-PAS,EPS SEDA LORETO SA,160101,LORETO,MAYNAS,IQUITOS,Cobros en exceso,No implementar MC,10-2023-SUNASS-DS,0.09,0,0,0,3,2023,202301,20231031
PAS-001-2022-SUNASS-ODS-LOR,EPS SEDA LORETO SA,160101,LORETO,MAYNAS,IQUITOS,Cobros en exceso,No implementar MC,11-2023-SUNASS-DS,3.77,0,0,0,3,2023,202301,20231031
070-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Atención de problemas operacionales ,Numeral 14 del item C del Anexo 4,12-2023-SUNASS-DS,119.89,0,0,0,0,2023,202301,20231031
053-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Rectificación de error material,Resolución 218-2022-SUNASS-DS,13-2023-SUNASS-DS,0,0,0,0,0,2023,202301,20231031
068-2022-PAS,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales,No implementar MC,14-2023-SUNASS-DS,0.58,0,0,0,0,2023,202301,20231031
078-2022-PAS,EMSAPA YAULI LA OROYA SRL,120801,JUNIN,YAULI,LA OROYA,VMA,"Numeral 58, item K del Anexo 4",15-2023-SUNASS-DS,2,0,0,0,0,2023,202301,20231031
PAS-007-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",16-2023-SUNASS-DS,15,0,0,0,0,2023,202301,20231031
PAS-0003-2022-SUNASS-ODS-LAM,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Supervisión,"Numeral 30, item F del Anexo 4",17-2023-SUNASS-DS,0,0,0,1,0,2023,202301,20231031
PAS-006-2022-SUNASS-ODS-CHI,SEDACHIMBOTE SA,21801,ANCASH,SANTA,CHIMBOTE,Estructura tarifaria,No aplicar ajustes por IPM,18-2023-SUNASS-DS,0,0,0,1,0,2023,202301,20231031
075-2022-PAS,EPS RIOJA SA,220801,SAN MARTIN,RIOJA,RIOJA,VMA,"Numeral 58, item K del Anexo 4",19-2023-SUNASS-DS,2,0,0,0,0,2023,202301,20231031
PAS-0005-2022-SUNASS-ODS-AYA,SEDA AYACUCHO SA,50101,AYACUCHO,HUAMANGA,AYACUCHO,Fondos y/o reservas,No implementar MC,20-2023-SUNASS-DS,0,0,0,1,0,2023,202301,20231031
072-2022-PAS,EPS SEDACUSCO SA,80108,CUSCO,CUSCO,WANCHAQ,Comercial,No implementar MC,21-2023-SUNASS-DS,0.005,0,0,0,0,2023,202301,20231031
073-2022-PAS,EPS SEDACUSCO SA,80108,CUSCO,CUSCO,WANCHAQ,Comercial,No implementar MC,22-2023-SUNASS-DS,0.24,0,0,0,0,2023,202301,20231031
071-2022-PAS,EPS SEDAM HUANCAYO SA,120101,JUNIN,HUANCAYO,HUANCAYO,Operacionales,No implementar MC,23-2023-SUNASS-DS,0.02,0,0,0,0,2023,202301,20231031
076-2022-PAS,EPS BARRANCA SA,150201,LIMA,BARRANCA,BARRANCA,VMA,"Numeral 55, item K del Anexo 4",24-2023-SUNASS-DS,6.91,0,0,0,0,2023,202301,20231031
074-2022-PAS,Jorge Aspillaga Valderrama- Gte. Operaciones- EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Buen gobierno corporativo,"Numeral 75-E, item L del Anexo N° 4",25-2023-SUNASS-DS,0,0,0,0,0,2023,202302,20231031
034-2022-PAS,EPS SEMAPACH SA,110201,ICA,CHINCHA,CHINCHA ALTA,Cobros en exceso,No implementar MC,26-2023-SUNASS-DS,62.69,0,0,0,0,2023,202302,20231031
037-2022-PAS,EPS CHAVIN SA,20101,ANCASH,HUARAZ,HUARAZ,Solicitud de ampliación de plazo,Resolucion 198-2022-SUNASS-DS,27-2023-SUNASS-DS,0,0,0,0,0,2023,202302,20231031
PAS-005-2022-SUNASS-ODS-JUN,EPS SIERRA CENTRAL SRL,120701,JUNIN,TARMA,TARMA,Fondos y/o reservas,No efectuar desembolsos en Reserva,28-2023-SUNASS-DS,0,1,0,0,0,2023,202302,20231031
PAS-003-2022-SUNASS-ODS-HUA,EMAPA HUANCAVELICA SA,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Calidad de facturación,No implementar MC,29-2023-SUNASS-DS,1.22,0,0,0,0,2023,202302,20231031
PAS-007-2022-SUNASS-ODS-AYA,SEDA AYACUCHO SA,50101,AYACUCHO,HUAMANGA,AYACUCHO,Supervisión,"Numeral 30, item F del Anexo 4",30-2023-SUNASS-DS,0,0,0,1,0,2023,202302,20231031
080-2022-PAS,EPS EMSAP CHANKA SA,30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,Cobros en exceso,No implementar MC,31-2023-SUNASS-DS,0.09,0,0,0,1,2023,202302,20231031
079-2022-PAS,EMAPA SAN MARTIN SA,220901,SAN MARTIN,SAN MARTIN,TARAPOTO,Operacionales,No implementar MC,32-2023-SUNASS-DS,0.67,0,0,0,0,2023,202302,20231031
005-2022-SUNASS-ODS-CUS,EPS EMAQ SRL ,80901,CUSCO,LA CONVENCION,SANTA ANA,Metas de gestión,ICG menor al 85% e ICI a nivel de EPS menor al 80%,33-2023-SUNASS-DS,9.71,0,0,0,0,2023,202302,20231031
PAS-003-2022-SUNASS-ODS-CAJ,EPS MARAÑON SA,60801,CAJAMARCA,JAEN,JAEN,Cobros en exceso,No implementar MC,34-2023-SUNASS-DS,0.1,0,0,0,2,2023,202302,20231031
PAS-0002-2022-SUNASS-ODS-APU,EPS EMUSAP ABANCAY SA,30101,APURIMAC,ABANCAY,ABANCAY,Supervisión,"Numeral 30, item F del Anexo 4",35-2023-SUNASS-DS,0,0,0,1,0,2023,202302,20231031
091-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Supervisión,"Numeral 30, item F del Anexo 4",36-2023-SUNASS-DS,15,0,0,0,0,2023,202302,20231031
082-2022-PAS,EPS EMAQ SRL ,80901,CUSCO,LA CONVENCION,SANTA ANA,VMA,"Numeral 58, item K del Anexo 4",37-2023-SUNASS-DS,2,0,0,0,0,2023,202302,20231031
090-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Supervisión,"Numeral 30, item F del Anexo 4",38-2023-SUNASS-DS,15,0,0,0,0,2023,202302,20231031
PAS-004-2022-SUNASS-ODS-LAM,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Operacionales,No implementar MC,39-2023-SUNASS-DS,0.34,0,0,0,0,2023,202302,20231031
033-2022-PAS,EMAPA SAN MARTIN SA,220901,SAN MARTIN,SAN MARTIN,TARAPOTO,Calidad de facturación,No implementar MC,40-2023-SUNASS-DS,1.48,0,0,0,0,2023,202302,20231031
PAS-003-2022-SUNASS-ODS-TAC,EPS TACNA SA,230101,TACNA,TACNA,TACNA,Constitución de fondos ,No implementar MC,41-2023-SUNASS-DS,0,0,0,1,0,2023,202302,20231031
008-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales,No implementar MC,42-2023-SUNASS-DS,14.55,0,0,0,0,2023,202302,20231031
081-2022-PAS,SEDAPAL SA,150111,LIMA,LIMA,EL AGUSTINO,"Metas sobre Monitoreo y Gestión de Uso de Aguas Subterráneas	",ICG e ICI a nivel de EPS menores al 90%,43-2023-SUNASS-DS,173.41,0,0,0,0,2023,202302,20231031
PAS-005-2022-SUNASS-ODS-TUM,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales y Comercial,No implementar MC,44-2023-SUNASS-DS,0,1,0,0,0,2023,202302,20231031
PAS-004-2022-SUNASS-ODS-TUM,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales y Comercial,No implementar MC,45-2023-SUNASS-DS,2.13,0,0,0,0,2023,202302,20231031
083-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales,No implementar MC,46-2023-SUNASS-DS,0.12,0,0,0,0,2023,202302,20231031
PAS-006-2022-SUNASS-ODS-TUM,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales ,No implementar MC,47-2023-SUNASS-DS,16.65,0,0,0,0,2023,202302,20231031
PAS-004-2022-SUNASS-ODS-HUA,EMAPA HUANCAVELICA SA,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Programas de mantenimiento (agua potable) y ejecución (agua potable y alcantarillado),"Numerales 20, 21  y  21-A del item C",48-2023-SUNASS-DS,3.71,0,0,0,0,2023,202303,20231031
003-2022-SUNASS-ODS-HUR,EPS CHAVIN SA,20101,ANCASH,HUARAZ,HUARAZ,Cobros en exceso,No implementar MC,49-2023-SUNASS-DS,1.22,0,0,0,3,2023,202303,20231031
084-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales,No implementar MC,50-2023-SUNASS-DS,3.65,0,0,0,0,2023,202303,20231031
085-2022-PAS,EMAPACOP SA,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,Cobros en exceso,No implementar MC,51-2023-SUNASS-DS,0.06,0,0,0,1,2023,202303,20231031
PAS-005-2022-SUNASS-ODS-HUA,EMAPA HUANCAVELICA SA,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,Operacionales,No implementar MC,52-2023-SUNASS-DS,0.01,0,0,0,0,2023,202303,20231031
PAS-001-2022-SUNASS-ODS-PAS,EMAPA PASCO SA,190113,PASCO,PASCO,YANACANCHA,Operacionales,No implementar MC,53-2023-SUNASS-DS,0,0,0,0,0,2023,202303,20231031
088-2022-PAS,EMAPA HUARAL SA,150601,LIMA,HUARAL,HUARAL,Metas de gestión/Fiscalización,ICG menor al 85% e ICI a nivel de EPS menor al 80% y numeral 30 del item F,54-2023-SUNASS-DS,14.95,0,0,0,0,2023,202303,20231031
087-2022-PAS,EMAPA CAÑETE SA,150507,LIMA,CAÑETE,IMPERIAL,Atención de reclamos,No implementar MC,55-2023-SUNASS-DS,0,0,0,1,0,2023,202303,20231031
PAS-002-2022-SUNASS-ODS-HUN,EPS SEDA HUANUCO SA,100101,HUANUCO,HUANUCO,HUANUCO,Publicación de ajustes por IPM,Numeral 41 del item F,56-2023-SUNASS-DS,0,0,0,1,0,2023,202303,20231031
086-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales/ Cobros en exceso,No implementar MC,57-2023-SUNASS-DS,5.04,0,0,0,1,2023,202303,20231031
089-2022-PAS,EMAPA CAÑETE SA,150507,LIMA,CAÑETE,IMPERIAL,Metas de gestión,ICG menor al 85% e ICI a nivel de EPS y localidad menores al 80%,58-2023-SUNASS-DS,7.82,0,0,0,0,2023,202303,20231031
093-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",59-2023-SUNASS-DS,15,0,0,0,0,2023,202303,20231031
PAS-0002-2022-SUNASS-ODS-AMA,EPSSMU SA,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Estructura tarifaria,No aplicar ajustes por IPM,60-2023-SUNASS-DS,0,1,0,0,0,2023,202303,20231031
PAS-0006-2022-SUNASS-ODS-CUS,EPS EMAQ SRL ,80901,CUSCO,LA CONVENCION,SANTA ANA,Estructura tarifaria,No implementar MC,61-2023-SUNASS-DS,0,0,0,1,0,2023,202303,20231031
PAS-0007-2022-SUNASS-ODS-CHI,SEDACHIMBOTE SA,21801,ANCASH,SANTA,CHIMBOTE,Operacionales,No implementar MC,62-2023-SUNASS-DS,0.04,0,0,0,0,2023,202303,20231031
092-2022-PAS,EPS EMAPAT SA,170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,Comercial,No implementar MC,63-2023-SUNASS-DS,0,0,0,1,0,2023,202303,20231031
PAS-007-2022-ODS-TUM,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales,No implementar MC,64-2023-SUNASS-DS,0,1,0,0,0,2023,202303,20231031
094-2022-PAS,EPSEL SA,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,Supervisión,"Numeral 30, item F del Anexo 4",65-2023-SUNASS-DS,15,0,0,0,0,2023,202303,20231031
PAS-0009-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales,No implementar MC,66-2023-SUNASS-DS,25.84,0,0,0,0,2023,202303,20231031
095-2022-PAS,EPS SEDA LORETO SA,160101,LORETO,MAYNAS,IQUITOS,Comercial,No implementar MC,67-2023-SUNASS-DS,0.54,0,0,0,0,2023,202303,20231031
096-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",68-2023-SUNASS-DS,15,0,0,0,0,2023,202303,20231031
002-2022-SUNASS-ODS-PAS,EMAPA PASCO SA,190113,PASCO,PASCO,YANACANCHA,Operacionales,No implementar MC,69-2023-SUNASS-DS,0.22,0,0,0,0,2023,202303,20231031
PAS-010-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales y Comercial,No implementar MC,70-2023-SUNASS-DS,0.19,0,0,0,1,2023,202303,20231031
097-2022-PAS,EMAPA HUARAL SA,150601,LIMA,HUARAL,HUARAL,Fondos y/o reservas,No efectuar desembolsos en Reserva,71-2023-SUNASS-DS,0,0,0,1,0,2023,202303,20231031
112-2022-PAS,EPS BARRANCA SA,150201,LIMA,BARRANCA,BARRANCA,Fondos y/o reservas,No efectuar desembolsos en Reserva,72-2023-SUNASS-DS,0,1,0,0,0,2023,202303,20231031
PAS-004-2022-SUNASS-ODS-TUM,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales y Comercial,No implementar MC,73-2023-SUNASS-DS,0,0,0,0,0,2023,202303,20231031
PAS-007-2022-SUNASS-ODS-JUN,EPS SEDAM HUANCAYO SA,120101,JUNIN,HUANCAYO,HUANCAYO,Fondos y/o reservas,No efectuar desembolsos en Reserva,74-2023-SUNASS-DS,9.35,0,0,0,0,2023,202303,20231031
PAS-007-2022-SUNASS-ODS-CUS,EPS EMSAPA CALCA SA,80401,CUSCO,CALCA,CALCA,Supervisión,"Numeral 30, item F del Anexo 4",75-2023-SUNASS-DS,0,1,0,0,0,2023,202303,20231031
PAS-011-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales,No implementar MC,76-2023-SUNASS-DS,0,0,0,1,0,2023,202303,20231031
PAS 004-2022-SUNASS-ODS-CAJ,EPS MARAÑON SA,60801,CAJAMARCA,JAEN,JAEN,Supervisión,"Numeral 30, item F del Anexo 4",77-2023-SUNASS-DS,10,0,0,0,0,2023,202303,20231031
PAS-0012-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales,No implementar MC,78-2023-SUNASS-DS,0.73,0,0,0,0,2023,202303,20231031
100-2022-PAS,EMAPA HUARAL SA,150601,LIMA,HUARAL,HUARAL,Operacionales,No implementar MC,79-2023-SUNASS-DS,2.04,0,0,0,0,2023,202303,20231031
099-2022-PAS,SEDAPAR SA,40101,AREQUIPA,AREQUIPA,AREQUIPA,Operacionales,No implementar MC,80-2023-SUNASS-DS,4.01,0,0,0,0,2023,202303,20231031
101-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",81-2023-SUNASS-DS,15,0,0,0,0,2023,202304,20231031
103-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",82-2023-SUNASS-DS,15,0,0,0,0,2023,202304,20231031
098-2022-PAS,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales y Comercial,No implementar MC,83-2023-SUNASS-DS,6.54,0,0,0,2,2023,202304,20231031
102-2022-PAS,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Supervisión,"Numeral 30, item F del Anexo 4",84-2023-SUNASS-DS,15,0,0,0,0,2023,202304,20231031
PAS-008-2022-SUNASS-ODS-TUM,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Operacionales,No implementar MC,85-2023-SUNASS-DS,1.03,0,0,0,0,2023,202304,20231031
PAS-0001-2022-SUNASS-ODS-MOQ,EPS ILO SA,180301,MOQUEGUA,ILO,ILO,Metas de gestión, ICI a nivel de EPS menor al 80% ,86-2023-SUNASS-DS,0,0,0,1,0,2023,202304,20231031
PAS-002-2022-SUNASS-ODS-LOR,EPS SEDA LORETO SA,160101,LORETO,MAYNAS,IQUITOS,Cobros en exceso,No implementar MC,87-2023-SUNASS-DS,0,1,0,0,2,2023,202304,20231031
PAS-001-2022-SUNASS-ODS-UCA,EMAPACOP SA,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,Fondos y/o reservas,Utilizar para fines distintos los recursos del Fondo de inversión,88-2023-SUNASS-DS,0,0,0,1,0,2023,202304,20231031
PAS-015-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Cobros en exceso,No implementar MC,89-2023-SUNASS-DS,0.17,0,0,0,0,2023,202304,20231031
PAS-014-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Comercial,No implementar MC,90-2023-SUNASS-DS,0,0,0,1,0,2023,202304,20231031
PAS-013-2022-SUNASS-ODS-PIU,EPS GRAU SA,200101,PIURA,PIURA,PIURA,Operacionales y Comercial,No implementar MC,91-2023-SUNASS-DS,4.05,0,0,0,1,2023,202304,20231031
PAS-003-2022-SUNASS-ODS-PUN,EPS SEDAJULIACA SA,211101,PUNO,SAN ROMAN,JULIACA,Operacionales ,No implementar MC,92-2023-SUNASS-DS,0,0,0,1,0,2023,202304,20231031
104-2022-PAS,UNIDAD EJECUTORA 002: AGUA TUMBES,240101,TUMBES,TUMBES,TUMBES,Cobros en exceso,No implementar MC,93-2023-SUNASS-DS,0,1,0,0,0,2023,202304,20231031
PAS-003-2022-SUNASS-ODS-LOR,EPS SEDA LORETO SA,160101,LORETO,MAYNAS,IQUITOS,Operacionales y Comercial,No implementar MC,94-2023-SUNASS-DS,0,0,0,1,0,2023,202304,20231031
106-2022-PAS,EMAPA HUARAL SA,150601,LIMA,HUARAL,HUARAL,Comercial,No implementar MC,95-2023-SUNASS-DS,0.0003,0,0,0,0,2023,202304,20231031
